24942009	myf5-cre	59
24942009	pax3-cre	39
24942009	myod1-cre	13
24942009	adiponectin-cre	1
19583951	ad-cre	7
19583951	ap2-cre	8
19583951	mscvpuro-cre	1
19583951	mscvhygro-cre	1
19583951	ad5cmv-cre	1
28385723	fabp4-cre	25
28385723	adipoq-cre	18
30380411	alb-cre	5
26322018	adiponectin-cre	1
26322018	myf5-cre	1
28422089	fabp4-cre	1
29891508	lysm-cre	1
25749863	ap2-cre	2
18406327	eiia-cre	1
18406327	ad-cre	31
18406327	ad5-cmv-cre	1
31579887	d2r-cre	7
31579887	vglut2-ires-cre	5
31579887	ires-cre	7
31579887	drd2-cre	7
31579887	vglut2-cre	3
31579887	vgat-cre	6
31579887	d2-cre	1
30005879	adiponectin-cre	2
30005879	ucp1-cre	18
30005879	iucp1-cre	5
28335584	adipoq-cre	12
28335584	ap2-cre	2
28335584	adiponectin-cre	1
28335584	retn-cre	1
28335584	4-cre	1
27264172	myf5-cre	3
27264172	ucp1-cre	4
27264172	promoter-cre	1
27264172	adipoq-cre	1
27264172	adiponectin-cre	2
27264172	aq-cre	1
26910308	ucp-1-cre	3
26977393	cmv-cre	3
31323252	akr1b7-cre	1
31323252	cyp11b2-cre	1
31323252	adiponectin-cre	2
31323252	actin-cre	1
31323252	myf5-cre	1
29499132	adipoq-cre	1
31578192	nkx2.1-cre	3
24719789	tre-cre	1
26683794	fabp4-cre	5
26683794	lysm-cre	3
26683794	ad-cre	6
26683794	adeno-cre	1
31914628	ucp1-cre	8
31573548	cadherin-cre	1
31573548	osx-cre	1
31573548	prx1-cre	1
29208699	albumin-cre	1
29208699	alb-cre	1
23485971	myod-cre	1
23485971	fabp4-cre	2
23485971	myf5-cre	6
29305395	f;rosa26-cre	10
29305395	rosa26-cre	3
29305395	f;tie2-cre	11
29305395	f;cdh5-cre	29
29305395	cdh5-cre	4
29305395	f;adipoq-cre	3
29305395	f;lysm-cre	5
29305395	adipoq-cre	2
29305395	lysm-cre	2
29305395	tie2-cre	3
21365256	sox10-cre	1
30270132	driven-cre	1
30270132	adiponectin-cre	1
17556545	geo-ad-cre	1
17556545	ad-cre	17
31197160	adiponectin-cre	2
24969110	fabp4-cre	5
30462209	adipoq-cre	3
30462209	fabp4-cre	1
30462209	4-cre	1
30462209	ap2-cre	1
28089567	zp3-cre	2
28089567	adiponectin-cre	1
28089567	pellucida-cre	1
29032027	ap2-cre	1
29032027	adiponectin-cre	1
29032027	adipoq-cre	9
29032027	rip2)-cre	1
29032027	rip2-cre	1
31767180	ap2-cre	1
31767180	rec2-cre	65
24043756	4-cre	1
25625589	myf5-cre	3
27498420	rip)-cre	1
27498420	rip-cre	2
19491401	pgc-1-cre	16
19491401	pgc1-cre	1
24049737	adiponectin-cre	4
24049737	driven-cre	1
29035364	th-cre	12
29035364	lyzm-cre	2
29035364	lysm-cre	3
31390528	ap2-cre	1
31390528	fabp4-cre	1
26654352	camk2a-cre	2
